year,region_id,voltage_kv,official_capacity_mva,official_positive_peak_mw,official_clr,source_row,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
2021,QX-00001,35,288.8,105.3,2.74,36,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2021,QX-00005,110,2027,731.77,2.77,19,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2021,QX-00007,110,3113.5,1449.77,2.15,9,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2021,QX-00008,110,1382,613.64,2.25,44,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2021,QX-00009,110,1737,701.12,2.48,29,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2021,QX-00010,110,1785,525.23,3.4,24,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2022,QX-00001,35,250.5,115.17462,2.17,36,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2022,QX-00003,35,292,120.13244,2.43,16,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2022,QX-00004,35,240,103.91286,2.31,41,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2022,QX-00005,35,263,124.71766,2.11,21,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2022,QX-00007,35,56,11.017072,5.08,11,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2022,QX-00008,35,185.6,107.39604,1.73,46,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2022,QX-00009,35,258.3,87.769699,2.94,31,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2022,QX-00010,35,234.5,117.61673,1.99,26,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2022,QX-00001,110,1235,481.40204,2.57,34,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2022,QX-00003,110,829.5,285.68911,2.9,14,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2022,QX-00004,110,1955.5,627.19727,3.12,39,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2022,QX-00005,110,2045.5,825.00419,2.48,19,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2022,QX-00007,110,3345,1432.37,2.34,9,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2022,QX-00008,110,1430.5,628.4776,2.28,44,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2022,QX-00009,110,1807,724.90349,2.49,29,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2022,QX-00010,110,1885,623.69778,3.02,24,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2023,QX-00001,35,276.5,93.590778,2.95,36,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2023,QX-00003,35,302,95.963958,3.15,16,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2023,QX-00004,35,250,92.058809,2.72,41,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2023,QX-00005,35,263,86.7,3.03,21,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2023,QX-00007,35,36,14.05,2.56,11,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2023,QX-00008,35,190.6,58.020619,3.29,46,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2023,QX-00009,35,258.3,86.11926,3,31,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2023,QX-00010,35,224,63.770084,3.51,26,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2023,QX-00001,110,1365,489.47475,2.79,34,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2023,QX-00003,110,966.5,316.00626,3.06,14,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2023,QX-00004,110,1994,647.04862,3.08,39,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2023,QX-00005,110,2151,761.2318,2.83,19,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2023,QX-00007,110,3575,1542.2167,2.32,9,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2023,QX-00008,110,1690.5,660.56076,2.56,44,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2023,QX-00009,110,1907,746.01225,2.56,29,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2023,QX-00010,110,2033.5,609.97427,3.33,24,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2024,QX-00001,35,276.5,112.36115,2.46,36,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2024,QX-00003,35,302,111.63477,2.71,16,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2024,QX-00004,35,250,99.858544,2.5,41,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2024,QX-00005,35,263,128.36154,2.05,21,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2024,QX-00007,35,36,13.057754,2.76,11,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2024,QX-00008,35,190.6,81.637692,2.33,46,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2024,QX-00009,35,270.3,91.511376,2.95,31,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2024,QX-00010,35,224,83.628967,2.68,26,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2024,QX-00001,110,1365,517.37823,2.64,34,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2024,QX-00003,110,966.5,291.21007,3.32,14,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2024,QX-00004,110,1994,633.32195,3.15,39,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2024,QX-00005,110,2169.5,862.66154,2.51,19,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2024,QX-00007,110,3675,1449.4016,2.54,9,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2024,QX-00008,110,1709,689.65649,2.48,44,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2024,QX-00009,110,1907,738.34753,2.58,29,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2024,QX-00010,110,2063.5,677.52687,3.05,24,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2025,QX-00001,35,276.5,119.49,2.31,36,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2025,QX-00003,35,302,124.78,2.42,16,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2025,QX-00004,35,250,106.61,2.34,41,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2025,QX-00005,35,275,147.65,1.86,21,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2025,QX-00007,35,36,14.68,2.45,11,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2025,QX-00008,35,164.3,82.31,2,46,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2025,QX-00009,35,274.3,89,3.08,31,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2025,QX-00010,35,232,79.75,2.91,26,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2025,QX-00001,110,1425,544.55,2.62,34,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2025,QX-00003,110,966.5,313.03,3.09,14,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2025,QX-00004,110,2094,634.28,3.3,39,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2025,QX-00005,110,2139.5,956.45,2.24,19,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2025,QX-00007,110,3701,1528.82,2.42,9,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2025,QX-00008,110,1839,759.56,2.42,44,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2025,QX-00009,110,1877,813.38,2.31,29,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
2025,QX-00010,110,1979.5,734.91,2.69,24,SRC08:Sheet1,电网建模数据_Agent整合版_V1.2,convert annual official 10000 kVA/kW anchors to MVA/MW; retain as total-volume anchor,real_2021_2025,official_annual_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
