source_load_level,source_load_value,penetration_level,t_rev_hours,interconnection_level,interconnection_value,pv_kwp_eff,best_cap_load_ratio,recommended_range,best_annual_cost_wan,reliability_wan,r_min_bare,n_feasible_R,gate_scheme,voltage_exceed_flag,tech_scheme,basis,score_base,score_mean_perturb,score_std_perturb,score_cv_perturb,robust_flag
中,1.8,低,1000,中,0.45,6687.0,1.8,"[1.6, 2.0]",910.38,0.0,1.8,4,纯主变,True,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核,0.4700995736076512,0.47038449650853265,0.018229628104982482,0.03875473839009286,True
中,1.8,低,1000,强,0.8,6687.0,1.8,"[1.6, 2.0]",910.38,0.0,1.8,4,纯主变,True,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核,0.3893303428385447,0.39189962577222276,0.020256919631600076,0.05168905071453673,True
中,1.8,中,1362,弱,0.15,6687.0,2.0,"[1.8, 2.2]",944.55,10.52,1.8,4,纯主变,True,维持刚性2.0,IEEE33参数扫描·经反向承载力校核,0.4718754761650472,0.4699284618855863,0.019411646158196537,0.041307662192381515,True
中,1.8,中,1362,中,0.45,6687.0,1.8,"[1.6, 2.0]",917.21,0.0,1.8,4,纯主变,True,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核,0.540969763005636,0.541548529006423,0.012237271215029466,0.02259681369176377,True
中,1.8,中,1362,强,0.8,6687.0,1.8,"[1.6, 2.0]",917.21,0.0,1.8,4,纯主变,True,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核,0.46020053223652957,0.46306365827011325,0.015635390047841268,0.03376509853141423,True
中,1.8,高,1900,弱,0.15,6687.0,2.0,"[1.8, 2.2]",954.63,10.52,1.8,4,纯主变,True,维持刚性2.0,IEEE33参数扫描·经反向承载力校核,0.5773009452098689,0.5757914268419244,0.020820050416985997,0.03615901426518755,True
中,1.8,高,1900,中,0.45,6687.0,1.8,"[1.6, 2.0]",927.36,0.0,1.8,4,纯主变,True,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核,0.6462971064496889,0.6473125859047841,0.011893336728255556,0.018373405657814017,True
中,1.8,高,1900,强,0.8,6687.0,1.8,"[1.6, 2.0]",927.36,0.0,1.8,4,纯主变,True,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核,0.5655278756805824,0.5688277151684741,0.016154648788571657,0.028399897469409716,True
高,3.2,低,1000,弱,0.15,11888.0,2.0,"[1.8, 2.2]",1089.2,10.52,,0,配储(方案A),True,刚性2.0+配储治反送（纯主变越限→方案A）,IEEE33参数扫描·经反向承载力校核,0.18866148670298097,0.18472739192497237,0.01582716839160038,0.08567851376336735,True
高,3.2,低,1000,中,0.45,11888.0,2.0,"[1.8, 2.2]",1069.9,0.0,,0,配储(方案A),True,刚性2.0+配储治反送（纯主变越限→方案A）,IEEE33参数扫描·经反向承载力校核,0.1464853473986237,0.1447250101361425,0.008987605175878858,0.06210125787769602,True
高,3.2,低,1000,强,0.8,11888.0,2.0,"[1.8, 2.2]",1059.38,0.0,,0,配储(方案A),True,刚性2.0+配储治反送（纯主变越限→方案A）,IEEE33参数扫描·经反向承载力校核,0.0804629926307988,0.08110460754155314,0.006766856861700183,0.08343369219991376,True
高,3.2,中,1362,弱,0.15,11888.0,2.0,"[1.8, 2.2]",1100.29,10.52,,0,配储(方案A),True,刚性2.0+配储治反送（纯主变越限→方案A）,IEEE33参数扫描·经反向承载力校核,0.25356003239702496,0.24987216260882014,0.01640496703754299,0.0656534400078797,True
高,3.2,中,1362,中,0.45,11888.0,2.0,"[1.8, 2.2]",1081.0,0.0,,0,配储(方案A),True,刚性2.0+配储治反送（纯主变越限→方案A）,IEEE33参数扫描·经反向承载力校核,0.21136987514970076,0.20985565109742216,0.009482450812414582,0.04518558715374941,True
高,3.2,中,1362,强,0.8,11888.0,2.0,"[1.8, 2.2]",1070.47,0.0,,0,配储(方案A),True,刚性2.0+配储治反送（纯主变越限→方案A）,IEEE33参数扫描·经反向承载力校核,0.14536153832484283,0.14624937822540088,0.007568173297260158,0.0517484134909912,True
高,3.2,高,1900,弱,0.15,11888.0,2.0,"[1.8, 2.2]",1116.78,10.52,,0,配储(方案A),True,刚性2.0+配储治反送（纯主变越限→方案A）,IEEE33参数扫描·经反向承载力校核,0.3500000000000012,0.3466779753989578,0.024011137574922483,0.06926063747551645,True
高,3.2,高,1900,中,0.45,11888.0,2.0,"[1.8, 2.2]",1097.49,0.0,,0,配储(方案A),True,刚性2.0+配储治反送（纯主变越限→方案A）,IEEE33参数扫描·经反向承载力校核,0.307809842752677,0.30666146388755977,0.019576405264759792,0.06383718715917244,True
高,3.2,高,1900,强,0.8,11888.0,2.0,"[1.8, 2.2]",1086.96,0.0,,0,配储(方案A),True,刚性2.0+配储治反送（纯主变越限→方案A）,IEEE33参数扫描·经反向承载力校核,0.24180150592781902,0.24305519101553855,0.018816654305798687,0.07741720811269699,True
